shop_name,product_name,url,embed_link,status,error
3DPrintNovesia,Neusser Eierdieb,https://shop.3dprintnovesia.de/products/neusser-eierdieb,https://3d-snap.com/embed/cc02081d-caef-43e3-b318-14b7d84c31c1,OK,
3DMichel,"Lithophane Lampe, 3D-Druck, Personalisiert - 3DMichel",https://www.3dmichel.com/produkt/lithophane-lampe-3d-druck-personalisiert/,https://3d-snap.com/embed/9c25a4f0-99bc-4d85-bd78-68489eb2f838,FEHLER,fetch failed
CAT LOURI,3D-gedruckte Vasen – Moderne Dekoration für stilvolle Wohnräume,https://catlouri.com/products/asthetische-3d-gedruckte-vasen-fur-dein-modernes-zuhause,https://3d-snap.com/embed/b3b335c5-9c9c-4f7a-bed3-3752d8646c09,OK,
